Codigo_Mald,Categoria_Mald,Nome_Mald,Descricao_Mald,Elemento_Mald,Efeito
11,Armas,Predadora,"A arma tem sede de sangue e persegue seus alvos, anulando penalidades por camuflagem e cobertura (mas não cobertura total). Caso a arma seja de ataque à distância, seu alcance também aumenta em uma categoria. Além disso, a margem de ameaça da arma duplica. Por exemplo, um fuzil de caça predador tem margem de ameaça 17. Efeitos que duplicam a margem de ameaça são aplicados antes de quaisquer efeitos que a aumentem.",Sangue,"Duplica a margem de ameaça da arma. 20 é margem de ameaça 1, 19 é margem 2 e assim por diante. Aumenta a categoria do alcance da arma em +1 (Caso ela ela ja fosse arremessável)"
12,Armas,Sanguinária,"Os ferimentos causados pela arma se rasgam além da área acertada. Um ser atingido fica sangrando. Sangramento causado pela arma é cumulativo — um ser atingido duas vezes sofre 2d6 pontos de dano de sangramento por rodada. Além disso, quando você faz um acerto crítico com a arma ela drena o sangue derramado, o que deixa o alvo fraco e concede a você 2d10 pontos de vida temporários.",Sangue,
13,Proteções,Abascanta,"Você recebe +5 em testes de resistência contra rituais. Uma vez por cena, quando você é alvo de um ritual, pode gastar uma reação e PE igual ao custo dele para refleti-lo de volta ao conjurador. As características do ritual (efeitos, DT...) se mantêm, mas você toma quaisquer decisões exigidas por ele.",Conhecimento,
14,Proteções,Profética,A proteção concede vislumbres de um possível futuro imediato. Você recebe resistência a Conhecimento 10 e pode gastar 2 PE para rolar novamente um teste de resistência uma vez.,Conhecimento,Resistencia a Conhecimento 10
15,Proteções,Sombria,"A proteção confunde os sentidos. Você recebe +5 em Furtividade e ignora a penalidade de carga em testes dessa perícia. Além disso, você pode gastar uma ação de movimento e 1 PE para fazer o item adquirir a aparência de uma roupa comum, mas mantendo suas propriedades (bônus na Defesa, espaço ocupado, penalidade em perícias...).",Conhecimento,+5 em furtividade
16,Proteções,Cinética,"A proteção produz uma barreira invisível que desvia ataques, concedendo +2 em Defesa e resistência a dano 2 (para proteção leve ou escudo) ou 5 (para proteção pesada).",Energia,+2 em Defesa e resistência a dano 2 (para proteção leve ou escudo) ou 5 (para proteção pesada).
17,Proteções,Lépida,"A proteção amplifica sua mobilidade, concedendo +10 em testes de Atletismo e +3m de deslocamento. Você pode gastar 2 PE para se mover de forma sobrenatural. Até o final do turno, você ignora terreno difícil, recebe deslocamento de escalada igual a seu deslocamento terrestre e fica imune a dano por queda de até 9m.",Energia,+10 em Atletismo e +3m de deslocamento
18,Proteções,Voltaica,"Você recebe resistência a Energia 10 e pode gastar uma ação de movimento e 2 PE para fazer a proteção emitir arcos de Energia até o fim da cena. Se fizer isso, no fim de cada um de seus turnos você causa 2d6 pontos de dano de Energia em todas os seres adjacentes.",Energia,Resistência a Energia 10
19,Proteções,Letárgica,"A proteção desacelera ataques perigosos, concedendo +2 em Defesa. Além disso, você recebe 25% de chance (para proteção leve ou escudo) e 50% de chance (para pesada) de ignorar o dano extra de acertos críticos e ataques furtivos.",Morte,+2 em defesa
20,Proteções,Repulsiva,"Você recebe resistência a morte 10 e pode gastar uma ação de movimento e 2 PE para cobrir seu corpo com uma camada de lodo preto até o final da cena. Se fizer isso, qualquer ser que o ataque em corpo a corpo sofre 2d8 pontos de dano de Morte.",Morte,Resistência a Morte 10
21,Proteções,Regenerativa,A proteção melhora sua capacidade de resistência e regeneração. Você recebe resistência a Sangue 10 e pode gastar uma ação de movimento e 1 PE para recuperar 1d12 pontos de vida.,Sangue,Resistência a Sangue 10
22,Proteções,Sádica,"No início de seu turno, você recebe +1 em testes de ataque e rolagens de dano para cada 10 pontos de dano que sofreu desde o fim de seu último turno. Por exemplo, se tiver sofrido 45 pontos de dano, recebe +4 em testes de ataque e rolagens de dano.",Sangue,
23,Vestimentas / Utensílios,Carisma,O acessório gera uma aura que torna você mais carismático e autoconfiante. Você recebe +1 em Presença (este aumento não fornece PE adicionais).,Conhecimento,"Adiciona +1 de Presença (Não na presença normal, a presença secundária que fica na bolinha amarela"
24,Vestimentas / Utensílios,Conjuração,"O acessório tem um ritual de 1º círculo. Se estiver empunhando o item, você pode conjurar o ritual como se o conhecesse. Caso conheça o ritual, seu custo diminui em –1 PE.",Conhecimento,"Abre uma lista de todos os rituais de primeiro circulo. Pode escolher e colocar o ritual dentro do item (sinalizar na caixa de descrição, mas ele aparece também dentro da aba de Rituais escrito ""Conjuração"" no canto do bloco. Se o ritual  que voce escolher ja estiver la, diminui 1 PE dele (em todas as versões), e ainda sim sinaliza Conjuração"
25,Vestimentas / Utensílios,Escudo Mental,O acessório gera uma barreira psíquica. Você recebe resistência mental 10.,Conhecimento,Resistência Mental 10
26,Vestimentas / Utensílios,Reflexão,"Uma vez por rodada, quando você é alvo de um ritual, pode gastar PE igual ao custo dele para refleti-lo de volta ao seu conjurador. As características do ritual (efeitos, DT...) se mantêm, mas você toma quaisquer decisões exigidas por ele.",Conhecimento,
27,Vestimentas / Utensílios,Sagacidade,"Sua mente é acelerada pelas forças do Conhecimento, fornecendo a você +1 em Intelecto (este aumento não fornece perícias treinadas).",Conhecimento,"Adiciona +1 de Intelecto (Não na presença normal, a presença secundária que fica na bolinha amarela"
28,Vestimentas / Utensílios,Defesa,Uma barreira de energia invisível gerada por este acessório fornece +5 de Defesa.,Energia,+5 de defesa
29,Vestimentas / Utensílios,Destreza,"Este acessório aprimora sua coordenação e velocidade, fornecendo +1 em Agilidade.",Energia,"Adiciona +1 de Agilidade (Não na presença normal, a presença secundária que fica na bolinha amarela"
30,Vestimentas / Utensílios,Potência,Este acessório aumenta a DT contra seus rituais e habilidades em +1.,Energia,Aumenta tudo que tem DT em +1
31,Vestimentas / Utensílios,Esforço Adicional,Este acessório fornece +5 PE. Este efeito só se ativa após um dia de uso.,Morte,Adiciona +5 PE máximo e atual
32,Vestimentas / Utensílios,Disposição,"Valendo-se do poder do Sangue, você recebe +1 em Vigor.",Sangue,"Adiciona +1 de Vigor (Não na presença normal, a presença secundária que fica na bolinha amarela"
33,Vestimentas / Utensílios,Pujança,"O acessório aumenta sua potência muscular, fornecendo +1 em Força.",Sangue,"Adiciona +1 de Força (Não na presença normal, a presença secundária que fica na bolinha amarela"
34,Vestimentas / Utensílios,Vitalidade,Este acessório fornece +15 PV. Este efeito só se ativa após um dia de uso.,Sangue,Adiciona +15 PV máximo e atual
35,Vestimentas / Utensílios,Proteção Elemental,Você recebe resistência 10 contra um elemento. Este acessório conta como um item do elemento contra o qual fornece resistência.,Varia,Abre o menuzinho de escolher elemento quando clica no botão de escolher; Da resistencia 10 do elemento escolhido. e a maldição fica do elemento escolhido
36,Medicamentos,Aceleração Espiral,"Além dos efeitos normais do medicamento, você pode gastar 3 PE para fazer uma única ação padrão adicional. Esta ação não pode ser usada para conjurar rituais. O efeito termina quando você fizer a ação padrão adicional ou quando a cena acabar, o que acontecer primeiro. Contudo, se usar um item com esta maldição, deve fazer um teste de Fortitude (DT 20). Se falhar, um de seus órgãos envelhece mais do que deveria (você perde 2d8 PV).",Morte,
37,Medicamentos,Esforço Espiral,"Além dos efeitos normais do medicamento, você também recupera 1d8+1 PE. Entretanto, se usar um item com esta maldição, deve fazer um teste de Fortitude (DT 20). Se falhar, envelhece 1 ano e fica frustrado até o fim da cena.",Morte,
38,Armas,Corrompida,"Uma ferramenta de cuidado como um bisturi ou serra para ossos que foi utilizada para feitos horríveis e teve sua utilidade deturpada permanentemente. Se você for treinado em Medicina, ao atacar com esta arma, você pode gastar 2 PE para adicionar +5 em seu teste de ataque. Se for Veterano, pode gastar 4 PE para +10, e 6 PE para +15 se for Expert. Mesmo sendo Veterano ou Expert você ainda pode pagar os custos menores de PE para receber menos bônus. Apenas ferramentas médicas podem receber esta maldição.",Sangue,
39,Armas,"Anti-Ciclica","A Morte reconhece as repetições infinitas da história. O tempo é um círculo. Uma espiral. Tudo está fadado a se repetir, e a Morte sabe tirar proveito disso. Ao fazer um ataque, você pode gastar 4PE para marcar o alvo com as espirais da Morte. Até o fim da cena, sempre que o alvo realizar uma ação Padrão idêntica à anterior (realizar ataques, conjurar rituais, fazer manobras, etc.) ele sofre 2d6 pontos de dano de Morte e fica Enjoado por uma rodada (Fortitude DT de rituais reduz o dano à metade e evita o efeito).",Morte,
40,Armas,Cinética,"A arma absorve a energia cinética que não é transferida ao alvo em seus ataques. Sempre que acertar um ataque crítico com essa arma, ela guarda uma carga. Ela pode guardar um total de 5 cargas. Ao fazer um ataque, você pode gastar 2PE para gastar uma carga e causar 1d6 pontos de dano de Eletricidade adicionais. Você pode gastar cargas adicionais no mesmo ataque, com cada uma custando 1PE.",Energia,
41,Armas Corpo a Corpo,Fantasmagórica,"A arma toma uma aparência translúcida e tremeluzente, como se estivesse num meio termo entre a realidade e a inexistência. Ao fazer um ataque, você pode gastar 3PE para atacar de forma a procurar o ponto fraco do alvo, passando a arma intangível por todo seu corpo até o encontrar. A margem de ameaça da arma aumenta em +3 contra esse ser. A arma pode acertar seres intangíveis, mas não pode usar sua habilidade contra eles. Apenas armas corpo-a-corpo podem receber essa maldição.",Energia,
42,Armas,Fricção,"À primeira vista, a arma não difere de uma qualquer, porém, ela passa a emitir pequenos raios de eletricidade quanto mais seu portador se move. Ela causa 1 ponto de dano de Energia adicional para cada 1,5m que você se moveu numa rodada.",Energia,
