Codigo_Arma,Nome_Item,Descricao_Item,Proficiencia,Tipo_Arma,Empunhadura_Arma,Dano_Arma,Critico_Arma,Multiplicador_Arma,Tipo_Dano_Arma,Alcance_Item,Categoria_Item,Espaços_Item,Agil?,Capacidade_Municao,dt_item,Automatica?,Fonte_Arma
12,Pistola,Uma arma de mão comum entre policiais e militares por ser facilmente recarregável.,Armas Simples,Arma de Fogo,Leve,1d12,18,2,Balístico,Curto,I,1,,12,,,OPRPG
14,Revólver,"A arma de fogo mais comum, e uma das mais confiáveis.",Armas Simples,Arma de Fogo,Leve,2d6,19,3,Balístico,Curto,I,1,,6,,,OPRPG
15,Fuzil de caça,"Esta arma de fogo é bastante popular entre fazendeiros, caçadores e atiradores esportistas.",Armas Simples,Arma de Fogo,Duas Mãos,2d8,19,3,Balístico,Médio,I,2,,4,,,OPRPG
17,Machadinha,"Ferramenta útil para cortar madeira, pode ser facilmente encontrada em canteiros de obras e fazendas. Pode ser arremessada.",Armas Táticas,Corpo a Corpo,Leve,1d6,20,3,Corte,Curto,0,1,,,,,OPRPG
18,Nunchaku,Dois bastões curtos de madeira ligados por uma corrente. É uma arma ágil.,Armas Táticas,Corpo a Corpo,Leve,1d8,20,2,Impacto,,0,1,TRUE,,,,OPRPG
19,Corrente,Um pedaço de corrente grossa pode ser usado como uma arma bastante efetiva. A corrente fornece +2 em testes para desarmar e derrubar.,Armas Táticas,Corpo a Corpo,Uma Mão,1d8,20,2,Impacto,,0,1,,,,,OPRPG
20,Espada,"Uma arma medieval, como uma espada longa dos cavaleiros europeus ou uma cimitarra sarracena. Você pode empunhar uma espada com uma mão (dano 1d8) ou com as duas (dano 1d10).",Armas Táticas,Corpo a Corpo,Uma Mão/Duas Mãos,1d8/1d10,19,2,Corte,,I,1,,,,,OPRPG
21,Florete,Esta espada de lâmina fina e comprida é usada por esgrimistas. É uma arma ágil.,Armas Táticas,Corpo a Corpo,Uma Mão,1d6,18,2,Corte,,I,1,TRUE,,,,OPRPG
22,Machado,"Uma ferramenta importante para lenhadores e bombeiros, um machado pode causar ferimentos terríveis.",Armas Táticas,Corpo a Corpo,Uma Mão,1d8,20,3,Corte,,I,1,,,,,OPRPG
23,Maça,Bastão com uma cabeça metálica cheia de protuberâncias.,Armas Táticas,Corpo a Corpo,Uma Mão,2d4,20,2,Impacto,,I,1,,,,,OPRPG
24,Acha,"Um machado grande e pesado, usado no corte de árvores largas.",Armas Táticas,Corpo a Corpo,Duas Mãos,1d12,20,3,Corte,,I,2,,,,,OPRPG
25,Gadanho,"Uma ferramenta agrícola, o gadanho é uma versão maior da foice, para uso com as duas mãos. Foi criada para ceifar cereais, mas também pode ceifar vidas.",Armas Táticas,Corpo a Corpo,Duas Mãos,2d4,20,4,Corte,,I,2,,,,,OPRPG
26,Katana,"Originária do Japão, esta espada longa e levemente curvada transcendeu os séculos. É uma arma ágil. Se você for veterano em Luta pode usá-la como uma arma de uma mão.",Armas Táticas,Corpo a Corpo,Duas Mãos,1d10,19,2,Corte,,I,2,TRUE,,,,OPRPG
27,Marreta,"Normalmente usada para demolir paredes, também pode ser usada para demolir pessoas. Use estas estatísticas para outras ferramentas de construção civil, como picaretas.",Armas Táticas,Corpo a Corpo,Duas Mãos,3d4,20,2,Impacto,,I,2,,,,,OPRPG
28,Montante,"Enorme e pesada, esta espada de 1,5m de comprimento foi uma das armas mais poderosas em seu tempo.",Armas Táticas,Corpo a Corpo,Duas Mãos,2d6,19,2,Corte,,I,2,,,,,OPRPG
29,Motoserra,"Uma ferramenta capaz de causar ferimentos profundos; sempre que rolar um 6 em um dado de dano com uma motosserra, role um dado de dano adicional. Apesar de potente, esta arma é desajeitada e impõe -1d20 nos seus testes de ataque. Ligar uma motosserra gasta uma ação de movimento.",Armas Táticas,Corpo a Corpo,Duas Mãos,3d6,20,2,Corte,,I,2,,,,,OPRPG
30,Arco composto,"Este arco moderno usa materiais de alta tensão e um sistema de roldanas para gerar mais pressão. Ao contrário de outras armas de disparo, permite que você aplique seu valor de Força às rolagens de dano.",Armas Táticas,Arma de Disparo,Duas Mãos,1d10,20,3,Perfuração,Médio,I,2,,,,,OPRPG
31,Balestra,"Uma besta pesada, capaz de disparos poderosos. Exige uma ação de movimento para ser recarregada a cada disparo.",Armas Táticas,Arma de Disparo,Duas Mãos,1d12,19,2,Perfuração,Médio,I,2,,,,,OPRPG
32,Submetralhadora,Esta arma de fogo automática pode ser empunhada com apenas uma mão.,Armas Táticas,Arma de Fogo,Uma Mão,2d6,19,3,Balístico,Curto,I,1,,20,,TRUE,OPRPG
33,Espingarda,Arma de fogo longa e com cano liso. A espingarda causa apenas metade do dano em alcance médio ou maior.,Armas Táticas,Arma de Fogo,Duas Mãos,4d6,20,3,Balístico,Curto,I,2,,6,,,OPRPG
35,Fuzil de assalto,A arma de fogo padrão da maioria dos exércitos modernos. É uma arma automática.,Armas Táticas,Arma de Fogo,Duas Mãos,2d10,19,3,Balístico,Médio,II,2,,30,,TRUE,OPRPG
36,Fuzil de precisão,"Esta arma de fogo de uso militar é projetada para disparos longos e precisos. Se for veterano em Pontaria e mirar com um fuzil de precisão (veja a página 87), você recebe +5 na margem de ameaça de seu ataque.",Armas Táticas,Arma de Fogo,Duas Mãos,2d10,19,3,Balístico,Longo,III,2,,1,,,OPRPG
37,Bazuca,"Este lança-foguetes foi concebido como uma arma anti-tanques, mas também se mostrou eficaz contra criaturas. A bazuca causa seu dano no alvo atingido e em todos os seres num raio de 3m; esses seres (mas não o alvo atingido diretamente) têm direito a um teste de Reflexos (DT Agi) para reduzir o dano à metade. Você pode disparar o foguete num ponto qualquer em alcance médio, em vez de num ser específico; nesse caso, não precisa rolar ataque e não tem chance de errar (mas também não acerta nenhum ser diretamente). A bazuca exige uma ação de movimento para ser recarregada a cada disparo.",Armas Pesadas,Arma de Fogo,Duas Mãos,10d8,20,2,Impacto,Médio,III,2,,,AGI,,OPRPG
39,Lança-chamas,"Equipamento militar que esguicha líquido inflamável incandescente. Um lança-chamas atinge todos os seres em uma linha de 1,5m de largura com alcance curto, mas não alcança além disso. Faça um único teste de ataque e compare o resultado com a Defesa de todos os seres na área. Além de sofrer dano, seres atingidos ficam em chamas.",Armas Pesadas,Arma de Fogo,Duas Mãos,6d6,20,2,Fogo,Curto,III,2,,,,,OPRPG
41,Metralhadora,"Uma arma de fogo pesada, de uso militar. Para atacar com uma metralhadora, você precisa ter Força 4 ou maior ou gastar uma ação de movimento para apoiá-la em seu tripé ou suporte apropriado; caso contrário, sofre –5 em seus ataques. Uma metralhadora é uma arma automática.",Armas Pesadas,Arma de Fogo,Duas Mãos,2d12,19,3,Balístico,Médio,II,2,,50,,TRUE,OPRPG
42,Pregador pneumático,"Outra ferramenta que pode ser empregada como arma em uma situação extrema, um pregador pneumático é um aparelho semelhante a uma pistola que dispara pregos sob pressão. Embora seja um dispositivo mecânico, ele conta como uma arma de fogo para seus poderes que afetam armas deste tipo. Um pregador armazena 300 pregos em rolo, o suficiente para durar uma missão inteira.",Armas Simples,Arma de Disparo,Uma Mão,1d4,20,4,Perfuração,Curto,0,1,,,,,SaH
43,Estilingue,"Originalmente usado para caçar passarinhos, estilingues evoluíram em formato e composição. Ao contrário de outras armas de disparo, permite que você aplique seu valor de Força às rolagens de dano. Um estilingue dispara bolinhas que podem ser reaproveitadas e, na falta destas, você pode usar pedrinhas como munição; um pacote de bolinhas dura uma missão inteira, tem categoria 0 e ocupa o mesmo espaço do estilingue. Um estilingue também pode lançar granadas; fazer isso permite arremessar uma granada em alcance longo.",Armas Simples,Arma de Disparo,Duas Mãos,1d4,20,2,Impacto,Curto,0,1,,,,,SaH
44,Revólver compacto,"Uma arma de baixo calibre, projetada para ser facilmente escondida no corpo. Se for treinado em Crime, você consegue carregar uma dessas armas sem que ela ocupe um espaço.",Armas Simples,Arma de Fogo,Leve,2d4,19,3,Perfuração,Curto,I,1,,5,,,SaH
45,Baioneta,"Uma lâmina projetada para ser fixada em um fuzil ou arma similar. Você pode gastar uma ação de movimento para fixar a baioneta em uma arma de fogo de duas mãos. Se fizer isso, a baioneta se torna uma arma de duas mãos ágil e seu dano aumenta para 1d6. Você ainda pode atacar com a arma de fogo, mas sofre -1d20 em ataques à distância com ela.",Armas Táticas,Corpo a Corpo,Leve,1d4,19,2,Perfuração,,0,1,,,,,SaH
46,Faca tática,"Uma faca balanceada para contra-ataques rápidos e bloqueios. Se usada na ação especial contra-ataque, fornece +2 no teste de ataque para contra-atacar. Se usada na ação especial bloqueio, você pode gastar 2 PE e sacrificar a faca tática para aumentar a RD do bloqueio em +20. A faca tática é uma arma ágil e pode ser arremessada.",Armas Táticas,Corpo a Corpo,Leve,1d6,19,2,Corte,Curto,I,1,TRUE,,,,SaH
47,Gancho de carne,"Usado para pendurar carne em frigoríficos, este gancho metálico pode servir como arma. Também pode ser amarrado a um pedaço de corda ou corrente; isso aumenta seu alcance para 4,5m e o transforma em um item de espaço 2.",Armas Táticas,Corpo a Corpo,Leve,1d4,20,4,Perfuração,,0,1,,,,,SaH
48,Bastão policial,"Essencialmente um bastão com uma guarda lateral, esta é a arma branca de uso padrão da maioria das forças policiais. Além de desferir golpes contundentes, pode ser usada para aparar ataques; quando usa a ação especial esquiva com um bastão policial, o bônus que você recebe na Defesa aumenta em +1. Um bastão policial é uma arma ágil.",Armas Táticas,Corpo a Corpo,Uma Mão,1d6,20,2,Impacto,Curto,I,1,TRUE,,,,SaH
49,Picareta,"Essencialmente uma ferramenta de mineração e demolição, uma picareta pode ser empregada em combate na falta de armas apropriadas.",Armas Táticas,Corpo a Corpo,Uma Mão,1d6,20,4,Perfuração,,0,1,,,,,SaH
50,Shuriken,"Pequenos projéteis metálicos em forma de estrelas ou dardos, usados por artistas marciais (e fãs de ninjas). Se for veterano em Pontaria, uma vez por rodada, quando ataca com uma shuriken, você poderá gastar 1 PE para fazer um ataque adicional de shuriken contra o mesmo alvo. Uma única shuriken representa um ""pacote"" suficiente para duas cenas (ou 10 shurikens, se estiver usando a regra opcional de contagem de munição).",Armas Táticas,Arma de Arremesso,Leve,1d4,20,2,Perfuração,Curto,I,0.5,,,,,SaH
51,Pistola pesada,Uma versão de calibre superior da tradicional pistola. Sua potência e recuo impõem uma penalidade de -1d20 em testes de ataque; empunhá-la com as duas mãos anula essa penalidade.,Armas Táticas,Arma de Fogo,Uma Mão,2d8,18,2,Balístico,Curto,I,1,,10,,,SaH
52,Espingarda de cano duplo,"Geralmente usada para caça, essa versão da espingarda conta com dois canos paralelos, cada um com um gatilho e capacidade para um cartucho. Ao contrário de outras armas de fogo, você precisa gastar uma ação de movimento para recarregar a espingarda de cano duplo após disparar seus dois cartuchos. Quando ataca com essa arma, você pode disparar os dois canos no mesmo alvo; se fizer isso, sofre -1d20 no teste de ataque, mas o dano da arma aumenta para 6d6.",Armas Táticas,Arma de Fogo,Duas Mãos,4d6,20,3,Balístico,Curto,II,2,,2,,,SaH
53,Chakram,"Uma lâmina circular que às vezes inclui um cabo no centro, normalmente usado em pares. É uma arma ágil e pode ser arremessada. Empunhar um chakram em cada mão te permite fazer um ataque corpo a corpo com ambos ao mesmo tempo, causando uma penalidade de -1d20 no teste de ataque, mas causando +2d6 pontos de dano que multiplicam com o crítico.",Armas Táticas,Corpo a Corpo,Leve,1d6,19,3,Corte,Curto,I,1,TRUE,,,,Homebrew
54,Chicote,"Mesmo que não seja comumente usado como arma, com a técnica certa pode ser letal. É uma arma ágil. O Chicote pode atingir inimigos a até 3 blocos (4,5m) de distância de você, porém, você sofre -5 em testes de ataque contra inimigos adjacentes, além de não poder atacar enquanto estiver sendo flanqueado. Você pode usar uma ação padrão para laçar um objeto que ocupe 2 ou menos espaços que esteja até 2 blocos (3m) de distância de você. Caso este item esteja na posse de outra pessoa, ela deve fazer um teste de Reflexo oposto a sua DT de Agilidade, se passar, não têm seu item laçado.",Armas Táticas,Corpo a Corpo,Uma Mão,2d4,20,3,Corte,3m,I,1,TRUE,,,,Homebrew
55,Dardo e Corda,"Uma pequena lâmina presa em uma corda ou corrente, similar a um martelo meteoro. É uma arma ágil. Devido à versatilidade do dardo e corda, sempre que fizer um ataque, você pode escolher entre dano de Corte e dano de Perfuração. Como ação completa, você pode fazer um teste de ataque com a intenção de alojar o dardo no alvo. O dano desse ataque vai sempre ser de Perfuração. Se passar, o dardo se prende ao alvo, e à via de regra, é como se ele estivesse amarrado por uma corda que você segura. O alvo não pode sair do alcance da arma e você pode puxá-lo em sua direção fazendo um teste oposto de Força (seres maiores que você têm +1d20 no teste para cada passo de tamanho que são maiores que você, e o oposto para seres menores). Você pode remover o dardo puxando a corda como ação de movimento, que causa 1d6 pontos de dano de Corte, ou o inimigo pode usar uma ação padrão para fazer um teste de Fortitude contra a DT do seu teste de ataque para removê-lo, sofrendo 2d6 pontos de dano de corte.",Armas Táticas,Corpo a Corpo,Duas Mãos,2d6,20,2,Perfuração/Corte,3m,I,1,TRUE,,,,Homebrew
56,Estrela da Manhã,"Uma arma medieval adjacente a uma maça, porém, com a cabeça presa ao cabo por uma corrente e coberta de espinhos.",Armas Táticas,Corpo a Corpo,Duas Mãos,4d6,19,2,Perfuração,,I,2,,,,,Homebrew
57,Fuzil Lebel,"Um fuzil leve com moldura de madeira, também o primeiro modelo na história a usar pólvora sem fumaça. Comumente usado com uma baioneta acoplada. Ao usar uma baioneta acoplada, a arma não recebe penalidade para atirar, além de aumentar o dano da baioneta em si em +2d6.",Armas Táticas,Arma de Fogo,Duas Mãos,2d8,20,3,Balístico,Médio,II,2,,8,,,Homebrew
58,Luva de Garras,"Uma luva justa com protuberâncias pontiagudas metálicas nas pontas dos dedos. É uma arma ágil. Você ainda pode manipular e segurar itens com a mão da luva enquanto a veste, porém, não pode fazer ataques com ela enquanto estiver o fazendo. Remover a luva custa uma ação padrão.",Armas Simples,Corpo a Corpo,Leve,1d6,20,3,Perfuração,,0,1,TRUE,,,,Homebrew
59,Marreta Pesada,"Uma grande marreta feita para combate, sem praticamente nenhuma aplicação para construção.",Armas Pesadas,Corpo a Corpo,Duas Mãos,4d10,20,3,Impacto,,II,2,,,,,Homebrew
60,Ranseur,"Três pontas metálicas acopladas a um cabo de madeira, como uma lança, mas mais pesado. Pode ser empunhado com duas mãos, causando 1d10 de dano.",Armas Táticas,Corpo a Corpo,Uma Mão/Duas Mãos,1d8/1d10,18,2,Perfuração,,I,1,,,,,Homebrew
61,Serra de Gili,"Uma serra em formato de cabo geralmente usada para cortar ossos. A cada duas vezes que você atacar um alvo na mesma cena, a arma passa a causar +1d4 pontos de dano adicionais contra esse alvo, com um limite de +3d4.",Armas Táticas,Corpo a Corpo,Duas Mãos,2d4,20,3,Corte,,I,1,,,,,Homebrew
62,Serra Óssea,"Uma serra própria para ossos e outros materiais mais firmes. Como ação completa, você pode mudar a lâmina para uma com dentes maiores, aumentando a margem de ameaça em 2 mas diminuindo o multiplicador de crítico em 1.",Armas Simples,Corpo a Corpo,Uma Mão,1d6,20/18,4/3,Corte,,0,1,,,,,Homebrew
68,Garra do Harpia,"Um rastelo transformado em uma arma estratégica, decorado com penas escuras e badulaques coloridos. É uma arma ágil. O formato estranho permite que, ao causar dano em um alvo, você possa gastar 2 PE para fazer uma manobra de agarrar contra ele como ação livre. Além disso, pode ser usada com Combater com Duas Armas (e poderes similares) para fazer ataques adicionais, como se fosse uma arma de uma mão e uma arma leve. Este é um item único (apenas um agente pode escolhê-lo).",Armas Táticas,Corpo a Corpo,Duas Mãos,2d8,19,2,Perfuração,Curto,I,2,,,,,AS
69,Lança-Nitrogênio,"Equipamento desenvolvido pelas Indústrias Panacea que esguicha nitrogênio líquido, reduzindo drasticamente a temperatura do alvo e congelando-o.
Esta arma atinge todos os seres em uma linha de 1,5m de largura com alcance curto, mas não alcança além disso. Faça um único teste de ataque e compare o resultado com a Defesa de todos os seres na área. Além de sofrer dano, seres atingidos ficam enredados pelo congelamento até gastarem uma ação padrão para quebrar o gelo com as mãos (Fortitude DT Agi muda para lento). O lança-nitrogênio usa combustível (OPRPG, p. 59) como munição, assim como um lança-chamas, mas o líquido interno é nitrogênio, em vez de algo inflamável.",Armas Pesadas,Arma de Fogo,Duas Mãos,6d6,20,2,Frio,Curto,III,2,,,AGI,,AS
70,"Lançador de Granadas","Essa arma é projetada para lançar granadas à longas distâncias, atingindo alvos com maior precisão e velocidade. 
Um lançador de granadas comporta até 6 granadas de modelo 40mm. Recarregá-lo com 1 granada gasta uma ação de movimento. As granadas 40mm são modelos específicos de granada que funcionam com as regras descritas em OPRPG (pp. 63-64), com a exceção de que elas não funcionam se arremessadas, apenas se atiradas por um lançador (veja a seguir). Além disso, o lançador de granadas não dispara granadas de modelo arremessável. 
O lançador de granadas causa seu dano no alvo atingido (teste de ataque à distância contra Defesa resolvido normalmente) e em todos os seres num raio descrito pela granada usada. Esses seres (mas não o alvo atingido diretamente) têm direito a fazer o teste de resistência oferecido pela granada. Você pode disparar a granada num ponto qualquer em alcance longo, em vez de num ser específico; nesse caso, não precisa rolar ataque e não tem chance de errar (mas também não acerta nenhum ser diretamente, todos na área podem fazer o teste de resistência).",Armas Táticas,Arma de Fogo,Duas Mãos,Veja texto,Veja Texto,Veja Texto,Veja Texto,Longo,II,2,,6,,,AS
