Codigo_Item_Ama,Nome_Ama,Desc_Ama,Espacos_Ama,Categoria_Ama,DT_Ama,Elemento_Ama,Fonte_Ama,Vestimenta?,Bonus_Vestimenta
11,Vislumbre do Fim,"_Um par de óculos escuros repleto de símbolos e espirais em sua armação metálica_. Você pode gastar uma ação de movimento para se concentrar em um ser que esteja vendo e obter informações sobre a morte dele. Em pessoas comuns, essa informação se traduz em um contador de tempo, que pode se alterar conforme as ações de um marcado Modificam seu futuro. Em Marcados ou criaturas, essas informações se traduzem na informação de qual é o pior valor de resistência do alvo (entre Fortitude, Reflexos ou Vontade) e de quaisquer vulnerabilidades que o alvo possua.",1,II,,Morte,OPRPG,,
12,Anéis do Elo Mental,"_Um par de anéis dourados, cada um contendo um dos símbolos do ritual Ligação Telepática_. Os anéis devem ser usados por duas pessoas por 24h para serem ativados. Após esse período, os dois são conectados porum ritual de Invadir Mente (ligação telepática) quedura enquanto estiverem usando os anéis. Enquanto a ligação estiver ativa, as duas pessoas fazem testes de Vontade usando a melhor quantidade de dados e bônus entre as duas. Porém, qualquer dano mental sofrido por uma delas será sofrido pela outra (ou seja, se numa rodada ambas sofrerem 10 pontos de dano mental, cada uma irá perder 20 pontos de sanidade) e qualquer condição mental ou de medo que afetar uma delas automaticamente afetará a outra.",1,II,,Conhecimento,OPRPG,,
13,"Lanterna Reveladora","_Uma lanterna dourada decorada com sigilos do Outro Lado_. Ativar a lanterna gasta uma ação padrão e 1 PE. Ela fica ligada por uma cena e emite luz com as propriedades do ritual Terceiro Olho. A luz da lanterna incomoda criaturas de Sangue. Se elas foram iluminadas pela luz dela, irão atacá-lo em detrimento de quaisquer outros alvos na mesma categoria de alcance",1,II,,Conhecimento,OPRPG,,
14,"Máscara das Pessoas nas Sombras","_Principal ferramenta e marca registrada da Seita das Máscaras, esse item quando usado por alguém que não pertence à Seita ainda carrega grande poder._ O usuário recebe resistência a Conhecimento 10 e pode gastar uma ação de movimento e 2 PE para “entrar” em uma sombra adjacente e se transportar instantaneamente para outra sombra que possa ver em alcance médio. Vestir a Máscara é como assinar um acordo e pode ter consequências severas se seu portador despertar o interesse da mente única das Máscaras...",1,II,,Conhecimento,OPRPG,,
15,Munição Jurada,"_Uma bala de arma de fogo com um sigilo gravado_. O usuário pode fazer um ritual de uma hora para vincular essa munição a um ser que conheça. Se usada contra esse ser, a bala fornece +10 no teste de ataque, dobra a margem de ameaça da arma e causa +6d12 pontos de dano de Conhecimento. Possuir uma munição juramentada deixa o usuário obcecado em abater seu alvo, impondo –2 em Defesa e em testes de ataque contra quaisquer outros alvos.",1,II,,Conhecimento,OPRPG,,
16,"Pergaminho da Pertinácia","_Um pergaminho amarelado e antigo. Mesmo enrolado, é possível vislumbrar sigilos dourados brilhando na parte interior_. Você pode gastar uma ação padrão para encarar os sigilos do Outro Lado inscritos no pergaminho, recebendo 5 PE temporários até o fim da cena. Sempre que usa este item, você deve fazer um teste de Ocultismo (DT 15 + 5 por uso adicional no mesmo dia). Se falhar, o pergaminho se desfaz.",1,II,"Ocultismo, 15 (+5)",Conhecimento,OPRPG,,
17,"Bateria Reversa","Uma pequena bateria elétrica repleta de sigilos paranormais. Você pode gastar uma ação padrão e 2 PE para fazer a bateria absorver a carga de qualquer dispositivo eletrônico em alcance curto — celular, notebook ou mesmo um automóvel —, fazendo-o ficar automaticamente descarregado. Se a bateria estiver cheia, você pode gastar uma ação padrão para transferir a carga dela para um dispositivo eletrônico descarregado em alcance curto, que é instantaneamente reenergizado. Sempre que usa a bateria, você deve fazer um teste de Ocultismo (DT 15 + 5 por uso adicional no mesmo dia). Se falhar, ela explode, causando 12d6 pontos de dano de Energia em todos os seres a até 3 metros.",1,II,"Ocultismo, 15 (+5)",Conhecimento,OPRPG,,
18,Peitoral da Segunda Chance,"Um dispositivo que pode ser vestido como um pequeno colete que pode ser prendido ao redor do peito, contendo uma peça central em cima do coração formada por um amontoado de partes eletrônicas seguradas por fios metálicos entrelaçados, passando por baixo dos braços e levando até um fecho na parte das costas. Se você for reduzido a 0 pontos de vida, o colete automaticamente gastará 5 PE seus para reanimá-lo com 4d10 PV através de um surto de Energia por todo o seu corpo. A reanimação falha se você não tiver PE suficiente. Cada vez que o item é ativado, existe uma chance (1 em 1d10) da descarga energética ser forte demais e matá-lo instantaneamente, transformando seu corpo e equipamento em plasma de Energia pura (exceto pelo colete).",1,II,,Energia,OPRPG,,
19,Relógio de Arnaldo,"_Um relógio de ouro, meio manchado e com um aspecto levemente queimado no exterior. Ao abrir, é possível enxergar a foto de um homem de barba e óculos aolado de uma criança simpática, também segurando um relógio de ouro_. Uma vez por rodada, você pode gastar 1 PE para rolar novamente qualquer dado com o resultado 1. O custo para usar o relógio aumenta em +1 para cada vez que for ativado no mesmo dia.",1,II,,Energia,OPRPG,,
20,Talismã da Sorte,"_Uma figa, moeda, pé de coelho ou qualquer outro badulaque modificado por um ritual_. Sempre que você estiver vestindo o talismã e sofrer dano, pode gastar uma reação e 3 PE para rolar 1d4. Em um resultado 2 ou 3, você evita completamente o dano. Em um resultado 4, você evita o dano, mas o talismã queima e vira cinzas. Por fim, em um resultado 1, a sorte se reverte em azar: em vez de evitar o dano, você sofre o dobro do dano que sofreria e o talismã queima e vira cinzas.",1,II,,Energia,OPRPG,,
21,"Teclado de Conexão Neural","_Um teclado USB coberto de glifos de Energia_. Sempre que você plugar o teclado a um computador (uma ação de movimento), o item irá gerar ondas eletromagnéticas que enviam os sinais do sistema diretamente para as sinapses de seu cérebro, efetivamente conectando a sua mente com a máquina. Você pode usar o computador sem nenhum impedimento tecnológico ou de idioma, recebe +10 em testes para hackear e gasta metade do tempo normal para localizar arquivos. Porém, devido ao estresse que seu cérebro sofre por se conectar diretamente a um sistema digital, você sofre 1d6 pontos de dano mental por rodada que usar o teclado.",1,II,,Energia,OPRPG,,
22,Tela do Pesadelo,"_Este dispositivo com tela (celular, tablet, TV...) contém diversos sigilos minúsculos em suas bordas_. Você pode gastar uma ação padrão e 2 PE para ativar a tela. A próxima pessoa que tocá-la verá uma imagem horrível saindo da tela e avançando contra ela. A imagem é apenas uma ilusão, mas os traumas que ela causa são reais! A pessoa deve fazer um teste de Vontade (DT determinada pelo usuário da tela +5). Se falhar, fica atordoada, sofre 4d6 pontos de dano mental e precisa repetir o teste na próxima rodada. O efeito continua até a pessoa passar no teste ou enlouquecer (ou outra pessoa destruir a tela). Uma vez que gere esse efeito, a tela fica inerte até você ativá-la novamente.",1,II,"Vontade, Varia (+5)",Energia,OPRPG,,
23,"Veículo Energizado","_O motor deste veículo foi modificado paranormalmente para não precisar de combustível_. Além disso, um motorista pode gastar uma reação e fazer um teste de Pilotagem (DT 25) para fazer o carro e seus ocupantes assumirem uma forma de energia pura por um instante, suficiente para evitar colidir com um objeto, atravessando-o como se fossem incorpóreos.",1,II,"Pilotagem, 25",Energia,OPRPG,,
24,"Jaqueta de Veríssimo","_Uma jaqueta de estilo aviador feita de couro marrom com a gola forrada de pele branca. Esta vestimenta de aparência comum já foi usada por vários agentes importantes e experientes da Ordem, e presenciou inúmeras batalhas e sacrifícios. Ao longo de sua história, a jaqueta foi passada de um agente para o outro como presente ou herança diversas vezes_. Você recebe resistência a dano paranormal 15. Além disso, sempre que um aliado adjacente for sofrer dano de qualquer tipo, você pode gastar uma reação e 2 PE para se tornar o alvo do dano no lugar. Este é um item único (apenas um agente pode escolhê-la) de categoria IV.",1,IV,,Medo,OPRPG,,
25,Dedo Decepado,"Este item grotesco é um dedo decepado e seco de alguém com alto nível de exposição paranormal. Você recebe um poder paranormal que o dono do dedo possuía. O elemento do poder define o elemento da maldição. Sempre que usar as ações dormir ou
relaxar em um interlúdio, role 1d4. Em um resultado 1, você é assombrado por memórias do dono do dedo e não recupera nenhum PV, PE ou sanidade. Além disso, ser visto usando esse item causa uma penalidade de –10 em testes de Diplomacia e pode causar reações severas de NPCs, a critério do mestre. Você precisa vestir o item por uma semana para que seu efeito comece a funcionar.",1,II,,Varia,OPRPG,,
26,Selos Paranormais,"Um conjunto de sigilos gravados em um objeto pequeno, como um pergaminho, moeda, pedra preciosa, osso humano... Cada selo contém um ritual. Para ativar um selo, você deve empunhá-lo e ler os sigilos em voz alta. Isso exige uma ação padrão ou a ação necessária para conjurar o ritual, o que for maior. Você também deve conhecer o ritual inscrito nele ou passar em um teste de Ocultismo (CD 20 + custo em PE do ritual). Quando o selo é ativado, o ritual é conjurado e o selo se desfaz em cinzas. Você sofre os efeitos das regras “O Custo do Paranormal” e “Invocando o Medo” (veja OPRPG, página 121), caso aplicáveis, e toma quaisquer decisões exigidas pelo ritual, como se o tivesse conjurado você mesmo. Caso conheça o ritual, você pode aplicar quaisquer habilidades que possua que se aplicariam aos seus próprios rituais, e pode usar versões avançadas dele, pagando o custo adicional em pontos de esforço (e apenas o custo adicional). Você não precisa de componentes ritualísticos para ativar um selo, o que o torna um objeto bastante útil para ocultistas em certas situações. A categoria de um selo é igual ao círculo do ritual contido nele: categoria I para rituais de 1º círculo, categoria II para rituais de 2º círculo, e assim por diante.",1,Varia,"Ocultismo, Varia",Varia,OPRPG,,
27,Conector de Membros,"Ninguém sabe que tipo de “cientista louco” desenvolveu esse aparato, composto por dois aneis metálicos de tamanhos adaptáveis, banhados em símbolos de Sangue e conectados por uma sanfona de tecido humano. Você pode usar esse item e uma ação padrão para reconectar um braço, perna ou cabeça decepados de uma pessoa ou animal, desde que o ferimento tenha ocorrido em até três rodadas. Reconectar a parte perdida não cura PV mas, se o alvo estava morrendo ou morto, ele perde estas condições e fica inconsciente e com 1 PV. Se o conector for removido, a parte é novamente decepada e não poderá ser reconectada por este item novamente. Quando é usado, o conector tem uma chance de 25% de conceder uma fagulha de “vida própria” à parte reconectada. Se isso acontecer e a parte for uma perna, o alvo ficará lento, pois o membro tentará andar em outras direções por conta prória. Se a parte for um braço, o alvo sofrerá uma penalidade de -1d20 em testes que exijam o uso daquele braço, pois o membro tentará tatear ao redor ou até mesmo atrapalhar a ação. Por fim, se a parte era a cabeça, no início de cada cena de grande tensão (como um combate ou uma perseguição), o alvo tem 25% de chance de ficar confuso. Há boatos de que estes efeitos podem ser removidos da parte
reconectada, mas não se sabe exatamente como.",1,III,,Sangue,SaH,,
28,Dose d’A Praga,"Um pequeno frasco de vidro reforçado contendo um líquido espesso vermelho que se rebate violentamente contra as paredes da sua pequena prisão. Você pode gastar uma ação padrão para abrir o frasco e fazer com que você ou um ser adjacente fique sob efeito dos poderes paranormais Arma de Sangue, Sangue de Ferro e Sangue Vivo até o fim da cena. Quando o efeito se encerra, o ser deve fazer um teste de Fortitude (DT 20 + 5 por dose anterior desde o último interlúdio). Se falhar, sofre 2d4 pontos de dano mental e mantém os poderes até o fim da próxima cena, ficando também sob efeito do ritual Ódio Incontrolável. ",1,III,"Fortitude, 20 (+5)",Sangue,SaH,,
29,Mandíbula Agonizante,"A parte inferior de um crânio, ainda com músculos e símbolos pintados com sangue, que emite sons perturbadores, como se estivesse sendo torturado. Você pode gastar uma ação padrão para pressionar a mandíbula, fazendo-a sentir mais dor, e arremessá-la em um ponto à sua escolha em alcance médio. O item começará a agonizar e gritar muito alto, acobertando qualquer outro som em um raio de 30 metros até o fim da cena. Se usar esse item em uma cena de furtividade (SaH, p. 92), você passa automaticamente em um teste para distrair. Criaturas de Sangue, em especial, são fortemente atraídas pelos gritos da mandíbula, e precisam passar em um teste de Vontade (DT 35) para evitar ir até ela e comê-la. No fim da cena, a mandíbula para de gritar, volta a agonizar baixinho e só pode ser usada novamente após descansar por uma cena.",1,II,"Vontade, 35",Sangue,SaH,,
30,Retalho Tenebroso,"Este pedaço de carne retangular com pele e alguns pelos bestiais esparsos é impregnado de instintos primais. Você pode gastar uma ação padrão para aplicá-lo sobre seu rosto como se fosse uma máscara. Se fizer isso, recebe faro e visão no escuro, mas sofre vulnerabilidade a Morte e -2d20 em testes de perícias para interação social, como Diplomacia e Enganação. Além disso, conforme permanece em seu rosto, as energias do retalho parecem impregná-lo em fúria; para cada dia em sequencia com o retalho tenebroso, você recebe um bônus cumulativo de +1 em rolagens de dano. Esse poder, entretanto, tem um custo, pois o retalho lentamente tenta se alimentar de sua carne; ao final de cada dia, você perde 1d6 pontos de vida (Fortitude DT 15, +5 a cada teste adicional em sequencia, evita). Para remover o retalho você deve gastar uma ação padrão e passar em um teste de Fortitude (como acima). Se falhar, perde 1d6 pontos de vida. A perda de vida causada pelo retalho só pode ser recuperada após ele ser removido. O retalho se solta automaticamente se a pessoa em que estiver aplicado morrer. ",1,II,"Fortitude, 15 (+5)",Sangue,SaH,,
31,Ampulheta do Tempo Sofrido,"Uma ampulheta de madeira trabalhada, com areia negra em seu interior. Quando é girada, os grãos assumem formas vagamente humanoides, que erguem os braços em desespero conforme são sugadas para a parte inferior do dispositivo. Se estiver empunhando a ampulheta do tempo sofrido, você pode gastar 5 PE para receber imediatamente os benef ícios de uma ação de interlúdio a sua escolha. Uma vez que tenha usado a ampulheta, você não pode usá-la novamente até gastar uma ação de interlúdio para devolver o tempo que a Morte lhe emprestou.",1,II,,Morte,SaH,,
32,Injeção de Lodo,"Uma velha seringa de bronze enferrujado com uma grande agulha preenchida com o Lodo preto da Morte, que escorre sutilmente para fora. Você pode gastar uma ação padrão e o conteúdo da seringa para injetar o Lodo em você ou um ser adjacente voluntário. Até o fim da cena o ser recebe vulnerabilidade a dano balístico e de Energia mas, na próxima vez em que for reduzido a 0 PV nesta mesma cena, em vez disso é reduzido a 1 PV.",0.5,II,,Morte,SaH,,
33,Instantâneo Mortal,"Este item é uma fotografia que retrata um dos últimos momentos de uma pessoa antes de sua morte (como um condenado sendo preparado para a forca ou um paciente terminal prestes a expirar). Existem diversas versões deste item, algumas uma simples foto em papel, outras um quadro adornado por uma sólida moldura ou mesmo uma imagem digital. Cada instantâneo mortal retrata pessoas diferentes, em circunstâncias de morte variadas. Se estiver empunhando um instantâneo mortal e fizer um teste de perícia para procurar pistas, você pode olhar fixamente para a imagem e gastar 1 PE. Se o teste for de uma perícia relacionada às circunstâncias de morte da fotografia, a imagem da pessoa irá se mover discretamente, apontando em uma direção útil para o teste (efetivamente concedendo +1d20 no teste). Por exemplo, um teste de Crime para encontrar uma pista pode receber o bônus se você estiver segurando um instantâneo mortal com a imagem de um criminoso. O mestre tem a palavra final sobre as perícias que se relacionam a um determinado _instantâneo mortal_.",0.5,II,,Morte,SaH,,
34,Projetil de Lodo (Curto),"Um projétil forjado por mãos habilidosas que empregaram o Lodo como parte do processo de fundição do metal, fazendo com que ele carregue a Morte consigo — literalmente. Forjar uma dessas munições é um trabalho árduo, mas o resultado é uma ferramenta poderosa contra criaturas de Sangue. Projéteis de Lodo podem ser encontrados em versões curtas e longas. Usar um_ projétil de Lodo_ troca todo o dano da arma para Morte. Entretanto, ao fim da cena, a arma se degrada, sendo consumida pelo tempo até ser completamente desfeita.",1,I,,Morte,SaH,,
35,Projetil de Lodo (Longo),"Um projétil forjado por mãos habilidosas que empregaram o Lodo como parte do processo de fundição do metal, fazendo com que ele carregue a Morte consigo — literalmente. Forjar uma dessas munições é um trabalho árduo, mas o resultado é uma ferramenta poderosa contra criaturas de Sangue. Projéteis de Lodo podem ser encontrados em versões curtas e longas. Usar um_ projétil de Lodo_ troca todo o dano da arma para Morte. Entretanto, ao fim da cena, a arma se degrada, sendo consumida pelo tempo até ser completamente desfeita.",1,II,,Morte,SaH,,
36,Rádio Chiador,"Um pequeno rádio gravador de bolso que já captou o áudio de inúmeras vidas se esvaindo. É como se estivesse constantemente empoeirado e pela sua aparência sequer deveria estar funcionando, mas um chiado perturbador e constante pode ser escutado vindo de dentro. Funciona com pilhas que duram doze horas antes de se tornarem Lodo preto. Enquanto estiver ligado, emite chiados estáticos se houver qualquer criatura Paranormal em alcance extremo. O chiado se torna mais alto conforme a proximidade de um destes elementos, o que permite estimar sua direção e categoria de alcance aproximadas. Criaturas Paranormais tendem a se sentir atraídas pelo chiado uma vez que possam ouvi-lo. As funções normais do rádio gravador não funcionam, mas ele pode ficar desligado para não emitir barulho.",1,II,,Morte,SaH,,
37,Câmera Obscura,"Uma das versões mais antigas e usadas de todas as câmeras de aura paranormal. Reza a lenda de que essa Polaroid Model 95 capturou tantas auras que se tornou incrivelmente poderosa contra criaturas fantasmagóricas. Esta versão de câmera de aura paranormal possui a modificação lente de revelação paranormal, mas a DT para resistir a seu efeito aumenta em +10. Além disso, se falhar, a criatura também sofre 6d6 pontos de dano de frio conforme partes de sua forma são inexistidas. Apenas criaturas com alguma habilidade de invisibilidade, incorporeidade ou camuflagem sofrem esse dano.",1,III,,Conhecimento,SaH,,
38,Enxame Fantasmagórico,"Um manto leve e quase invisível composto de traças e mariposas esbranquiçadas que foi tecido por algum bruxo de séculos passados. Enquanto estiver vestido, este manto amaldiçoado deixa seu usuário invisível (veja SaH, p. 125). Contudo, o usuário se torna o alimento das traças e mariposas que formam a veste; enquanto estiver vestindo o manto, você sofre 1 ponto de dano mental no início de cada um de seus turnos. Esse dano mental ignora todo tipo de resistência a dano.",1,III,,Conhecimento,SaH,,
39,Repositório do Fracasso,"Esta pequena caixinha de madeira se assemelha a um antigo porta-joias. Seu exterior, entretanto, é decorado com figuras espectrais que expressam um desespero profundo. Sempre que uma criatura Paranormal em alcance médio faz um teste, para cada resultado 1 nos d20 desse teste, o repositório do fracasso recebe uma carga, até um máximo de 6 cargas. Uma vez por rodada, você pode consumir uma dessas cargas para recuperar 1d4 PE. Sempre que faz isso, entretanto, você sofre uma penalidade cumulativa de –1 em Vontade até seu próximo interlúdio.",1,II,,Conhecimento,SaH,,
40,Tábula do Saber Custoso,"Esta pequena tábula, marcada com sigilos de Conhecimento, fornece conhecimento do Outro Lado às custas da integridade da mente de seu usuário. Se estiver empunhando a Tábula do Saber Custoso, você pode usá-la para receber os benefícios de ser treinado em uma perícia por um único teste. Se fizer isso, você perde uma quantidade de pontos de Sanidade igual ao seu valor no atributo-chave dessa perícia.",1,II,,Conhecimento,SaH,,
41,Arreio Neural,"Este conjunto de correias de couro e fivelas metálicas pode ser fixado à cabeça de uma pessoa de forma semelhante à cabeçada de um cavalo, expondo sua arcada dentária e mantendo seus olhos abertos. Um aparato amaldiçoado da era Vitoriana, este dispositivo converte certas correntes em estímulos cerebrais. Se estiver usando o arreio neural, sempre que sofre 5 ou mais pontos de dano de eletricidade ou Energia, você recupera 1 PE. Você pode recuperar um máximo de PE desta forma igual ao dobro do seu Vigor no mesmo dia.",1,II,,Energia,SaH,,
42,Centrifugador Existencial,"Este pequeno dispositivo formado por dois círculos de cobre concêntricos foi criado por um inventor desconhecido do século XVII. Você pode gastar uma ação padrão e 3 PE para ativar o dispositivo, o que faz com que os dois círculos girem rapidamente em sentidos opostos. Quando isso acontece, você é dividido em duas possibilidades de futuro e recebe um turno adicional na última contagem de iniciativa desta rodada, estando brevemente em dois lugares ao mesmo tempo. Ambas as versões de você são consideradas sua “versão verdadeira”, mas você deve sortear qual delas irá se dissipar ao final da rodada. Efeitos que afetarem qualquer uma das versões durante a rodada seguem afetando seu personagem, se aplicáveis. O seu “outro você” não é considerado outra pessoa adicional para qualquer efeito de jogo. Sempre que usa este item, você deve fazer um teste de Ocultismo (DT 15 + 5 por uso adicional no mesmo dia). Se falhar, você é separado em nível energético e perde metade de seus atributos (arredondado para baixo). Você recupera 1 ponto de cada atributo ao final de cada interlúdio.",1,III,"Ocultismo, 15 (+5)",Energia,SaH,,
43,Espelho Refletor,"Esta pequena placa metálica foi adquirida de corpos de criaturas como o Ciborgue, e polida ritualisticamente até se tornar reflexiva. Um espelho refletor pode ser usado para refletir imagens em ângulos impossíveis; você pode gastar uma ação de movimento para observar um ponto ou ser fora de seu ângulo de visão em alcance médio; quando faz isso você recebe +1d20 em Percepção e tem uma chance de enxergar mesmo objetos e seres com cobertura total. Além disso, quando sofre dano de Energia, você pode sacrificar o espelho para evitar esse dano e refleti-lo de volta à sua origem.",1,II,,Energia,SaH,,
44,A Primeira Adaga,"Por milênios, adagas se tornaram um símbolo ritualístico poderoso, sendo associadas à conjuração de rituais e armas de ocultistas. Contudo, todo mito tem uma origem. Este item amaldiçoado é a primeira adaga que já foi usada em um ritual. Apesar de ser a origem de uma das idealizações mais profundas do ocultismo humano, esta arma não impressiona à primeira vista. É uma lâmina de pedra polida e cabo de madeira tão primitiva quanto os primeiros sacrif ícios humanos para entidades sobrenaturais. Entretanto, qualquer um treinado em Ocultismo reconhece o horror que ela representa. Se for empregada como um componente ritualístico, ela concede ao ritual os efeitos dos catalisadores ampliador, perturbador, potencializador e prolongador (SaH, p. 44). Além disso, o tempo de conjuração do ritual se torna 1 rodada (isso se aplica mesmo com as regras opcionais Conjuração Complexa e Combate Narrativo). Contudo, o poder fornecido pela adaga tem um preço; o conjurador perde uma quantidade de pontos de vida igual à metade de seus PV totais (esta perda conta como dano para efeitos de calcular dano massivo; veja OPRPG, p. 88). É possível usar uma vítima de sacrifício para pagar esse preço em vida, mas isso é um ato de extrema crueldade ou desespero.",1,III,,Medo,SaH,,
45,"Camiseta Psikolera","Manchada de sangue dos vários mosh pits na qual já esteve presente, uma simples merch de uma banda se torna um símbolo de resistência e adrenalina. Quanto mais ela se suja, mais você se deleita. Se estiver machucado enquanto usa esta vestimenta, todas as suas rolagens de dano causam +2d8 pontos de dano de Sangue.",1,II,,Sangue,AS,TRUE,
46,"Combustível de Sangue
","Um tanque com combustível inflamável misturado com Sangue. Fabricar um combustível desse é um trabalho grotesco, mas o resultado é uma ferramenta poderosa contra criaturas de Conhecimento. Você pode gastar o Combustível de Sangue como munição para lança-chamas ou para encher galões. Fazer isso troca todo o dano do lança-chamas ou do galão (veja SaH, p. 41) para Sangue e aumenta todos os dados de dano em uma categoria (d6 vira d8, por exemplo).",1,III,,Sangue,AS,,
47,"Larva da Fúria","Uma larva de Sangue gosmenta com 15cm de comprimento e dentes longos. Este item operacional maldito pode ser ingerido com o gasto de uma ação de movimento. Se fizer isso, você consome o item e é tomado por ódio até o fim da cena. Você recebe +4 em testes de ataque e rolagens de dano corpo a corpo, mas não pode fazer nenhuma ação que exija calma e concentração (como usar a perícia Furtividade ou conjurar rituais). A fúria termina se, ao fim da rodada, você não tiver atacado nem sido alvo de um efeito (ataque, habilidade etc.) hostil.",1,II,,Sangue,AS,,
