Codigo_Ritual,Nome_Ritual,Descricao_Ritual,Elemento_Ritual,Circulo_Ritual,PE_Ritual,Execucao_Ritual,Alcance_Ritual,Area_Ritual,Alvo_Ritual,Duracao_Ritual,Efeito_Ritual,Resistencia_Ritual,Dados_Ritual,Tem Discente?,Tem Verdadeiro?,Imagem,Requisito_Discente,Requisito_Verdadeiro
11,Capturar o Coração,"Você desperta uma paixão doentia e obcecada por você no alvo, que passa a querar agradá-lo a todo custo, mesmo que para isso precise ficar contra seus amigos. No início de cada turno do alvo ele deve fazer um teste de Vontade. Se falhar, age de forma a ajudá-lo na melhor de suas capacidades naquele turno. Se o alvo passar nesse teste dois turnos seguidos o efeito termina.",Sangue,4,10,Padrão,Curto,,1 pessoa,Cena,,Vontade Parcial,,FALSE,FALSE,,,
12,Chamas do Caos,"Você manipula o calor e o fogo. Ao conjurar o ritual, escolha um dos seguintes efeitos.
*Chamejar:* o alvo é uma arma corpo a corpo. Elacausa +1d6 pontos de dano de fogo.
*Esquentar:*o alvo é um objeto, que começa a esquentar. Ele sofre 1d6 pontos de dano de fogo por rodada e causa o mesmo dano a qualquer ser que o esteja empunhando ou vestindo. A critério domestre, o objeto ou o ser pode pegar fogo. Um ser pode gastar uma ação completa para resfriar o objeto (jogando areia ou se jogando numa fonte de água próxima, por exemplo) e cancelar o efeito do ritual.
*Extinguir:* o alvo é uma chama de tamanho Grande ou menor, que é apagada. Isso cria uma nuvem de fumaça que ocupa uma esfera de 3m de raio centrada onde estava a chama. Dentro da fumaça, seres têm camuflagem.
*Modelar:* o alvo é uma chama de tamanho Grande ou menor. A cada rodada, você pode gastar uma ação livre para movimentá-la 9m em qualquer direção. Se atravessar o espaço ocupado por um ser, ela causa 3d6 pontos de dano de fogo nele. Um ser só pode sofrer dano dessa maneira uma vez por rodada.
*Discente (+3 PE):* muda a duração para sustentada e adiciona “Resistência: Reflexos reduz à metade”. Em vez do normal, uma vez por rodada você pode gastar uma ação de movimento para projetar uma labareda, num alvo em alcance curto. O alvo sofre 4d6 pontos de dano de Energia (Reflexos reduz à metade).
*Verdadeiro (+ 7 PE):* como discente, mas muda o dano para 8d6. Requer 3º círculo.",Energia,2,3/6/10,Padrão,Curto,,Veja texto,Cena/Sustentada,,Reflexos reduz à metade,1d6/4d6/8d6,TRUE,TRUE,,,3 Círculo
13,Cicatrização,"Você acelera o tempo ao redor das feridas do alvo, que cicatrizam instantaneamente. O alvo recupera 3d8+3 PV, mas envelhece 1 ano automaticamente.
Discente (+2 PE): aumenta a cura para 5d8+5 PV. Requer 2º círculo.
Verdadeiro (+9 PE): muda o alcance para “curto”, o alvo para “seres escolhidos” e aumenta a cura para 7d8+7 PV. Requer 4º círculo e afinidade com Morte.",Morte,1,1/3/10,Padrão,Toque//Curto,,1 ser//Seres escolhidos,Instantânea,,,3d8+3/5d8+5/7d8+7,TRUE,TRUE,,2 Círculo,"4 Círculo, Afinidade"
14,Cinerária,"Você manifesta uma névoa carregada de essência paranormal. Rituais conjurados dentro da névoa têm sua DT aumentada em +5.
*Discente (+2 PE):* além do normal, rituais conjurados dentro da névoa custam –2 PE.
*Verdadeiro (+5 PE):* além do normal, rituais conjurados dentro da névoa causam dano maximizado.",Medo,1,1/3/6,Padrão,Curto,Nuvem de 6m de raio,,Cena,,,,TRUE,TRUE,,,
15,Coincidência Forçada,"Você manipula os caminhos do caos para que o alvo tenha mais sorte. O alvo recebe +2 em testes de perícias.
*Discente (+2 PE):* muda o alvo para aliados à sua escolha. Requer 2º círculo.
*Verdadeiro (+5 PE):* muda o alvo para aliados à sua escolha e o bônus para +5. Requer 3º círculo e afinidade.",Energia,1,1/3/6,Padrão,Curto,,1 ser / Aliados à sua escolha / Aliados à sua escolha,Cena,,,,TRUE,TRUE,,2º círculo,"3º círculo, afinidade"
16,Compreensão Paranormal,"O ritual confere a você compreensão sobrenatural da linguagem. Se tocar um objeto contendo informação (um livro, um dispositivo com uma gravação...), você entende as palavras mesmo que não conheça seu idioma, contanto que se trate de um idioma humano (não funciona com símbolos ou sigilos paranormais). Se tocar uma pessoa, pode se comunicar com ela como se falassem um idioma em comum. Se tocar um ser não inteligente, como um animal, pode perceber seus sentimentos básicos, como medo ou felicidade. Um alvo involuntário tem direito a um teste de Vontade.
*Discente (+2 PE):* muda o alcance para ""curto"" e o alvo para ""alvos escolhidos"". Você pode entender todos os alvos afetados. Requer 2º círculo.
*Verdadeiro (+5 PE):* muda o alcance para ""pessoal"" e o alvo para ""você"". Em vez do normal, você pode falar, entender e escrever qualquer idioma humano. Requer 3º círculo.",Conhecimento,1,1/3/6,Padrão,Toque/Curto/Pessoal,,1 ser ou objeto/Alvos escolhidos/Você,Cena,,Vontade anula (veja texto),,TRUE,TRUE,,2º círculo,3º círculo
17,Conhecendo o Medo,"Você manifesta medo absoluto na mente do alvo. Se ele falhar no teste de resistência, a Sanidade dele é reduzida a 0 e ele fica enlouquecendo. Se ele passar, sofre 10d6 pontos de dano mental e fica apavorado por 1 rodada. Uma pessoa que fique insana pelo efeito deste ritual se transforma em uma criatura paranormal à critério do mestre.",Medo,4,10,Padrão,Toque,,1 pessoa,Cena,,Vontade parcial,10d6,FALSE,FALSE,,,
18,Consumir Manancial,"Você suga uma pequena porção do tempo de vida de plantas, insetos e até mesmo do solo ao redor, gerando lodo e recebendo 3d6 pontos de vida temporários. Os PV temporários desaparecem ao final da cena.
*Discente (+2 PE):* muda os PV temporários recebidos para 6d6. Requer 2º círculo.
*Verdadeiro (+5 PE):* muda o alvo para ""área: esfera com 6m de raio centrada em você"" e a resistência para ""Fortitude reduz à metade"". Em vez do normal, você suga energia de todos os seres vivos na área, causando 3d6 pontos de dano de Morte em cada um e recebendo PV temporários iguais ao dano total causado até o final da cena. Requer 3º círculo e afinidade.",Morte,1,1/3/6,Padrão,Pessoal//Área: esfera com 6m de raio centrada em você,,Você//Seres vivos na área,Instantânea,,Fortitude reduz à metade,3d6/6d6/3d6,TRUE,TRUE,,2º círculo,"3º círculo, afinidade"
19,Contato Paranormal,"Você barganha com a entidade de Conhecimento para que o auxilie durante o dia, em troca de se alimentar de sua Sanidade. Quando o ritual é conjurado, você recebe seis d6. Sempre que fizer um teste de perícia, você pode gastar um desses d6, rolá-lo e adicionar o resultado no teste. No entanto, essa ajuda tem um preço: sempre que rolar um 6 no dado, a entidade toma 2 pontos de Sanidade de você. Se você ficar sem dados ou chegar a Sanidade 0, o ritual acaba.
*Discente (+4 PE):* muda os dados de auxílio para d8. Sempre que rolar um 8 num desses dados, a entidade toma 3 pontos de sua Sanidade. Requer 4º círculo.
*Verdadeiro (+9 PE):* muda os dados de auxílio para d12. Sempre que rolar um 12 num desses dados, a entidade toma 5 pontos de sua Sanidade. Requer 4º círculo e afinidade.",Conhecimento,3,6/10/15,Completa,Pessoal,,Você,1 dia,,,6d6/6d8/6d12,TRUE,TRUE,,4º círculo,"4º círculo, afinidade"
20,Contenção Fantasmagórica,"Três laços de Energia surgem do chão e se enroscam no alvo, deixando-o agarrado. O alvo pode tentar se livrar, gastando uma ação padrão para fazer um teste de Atletismo (DT do ritual). Se passar, destrói um laço, mais um laço adicional para cada 5 pontos pelos quais superou a DT. Os laços também podem ser atacados e destruídos: cada um tem Defesa 10, 10 PV, RD 5 e imunidade a Energia. Se todos os laços forem destruídos, o ritual é dissipado. Por serem feitos de Energia, os laços afetam criaturas incorpóreas.
*Discente (+3 PE):* aumenta o número de laços para 6, e você pode escolher o alvo de cada laço, com um mínimo de dois laços por alvo. Requer 3º círculo.
*Verdadeiro (+5 PE):* como discente, e cada laço destruído libera uma onda de choque que causa 2d6+2 pontos de dano de Energia no alvo agarrado. Requer 3º círculo e afinidade.",Energia,2,3/6/8,Padrão,Médio,,1 ser,Cena,,Reflexos anula,,TRUE,TRUE,,3º círculo,"3º círculo, afinidade"
21,Controle Mental,"Você domina a mente do alvo, que obedece todos os seus comandos, exceto ordens suicidas. Um alvo tem direito a um teste de Vontade no final de cada um de seus turnos para se livrar do efeito. Alvos que passarem no teste ficam pasmos por 1 rodada.
*Discente (+5 PE):* muda o alvo para até cinco pessoas ou animais.
*Verdadeiro (+10 PE):* muda o alvo para até dez pessoas ou animais. Requer afinidade com Conhecimento.",Conhecimento,4,10/15/20,Padrão,Médio,,1 pessoa ou animal/até cinco pessoas ou animais/até dez pessoas ou animais,Sustentada,,Vontade parcial,,TRUE,TRUE,,,Afinidade
22,Convocação Instantânea,"Você invoca um objeto de qualquer lugar para sua mão. O item deve ter sido previamente preparado com o símbolo do ritual e pode ocupar no máximo 2 espaços. Se o objeto estiver sendo empunhado por outra pessoa, ela pode fazer um teste de Vontade para negar o efeito, mas você saberá onde o objeto está e quem o está carregando (ou sua aparência, caso não conheça a pessoa). Por até 1h depois da convocação, você pode gastar uma ação de movimento para enviar o objeto de volta para o local em que ele estava antes.
*Discente (+4 PE):* muda o alvo para um objeto de até 10 espaços.
*Verdadeiro (+9 PE):* muda o alvo para ""1 recipiente Médio (como uma mala ou caixote), com itens que somem até 10 espaços"" e a duração para ""permanente"". Em vez do normal, você encanta o recipiente para mantê-lo escondido no Outro Lado. Você pode convocar o recipiente para um espaço livre adjacente, ou de volta para o esconderijo paranormal, como uma ação padrão. Para isso, você deve ter em mãos uma miniatura do objeto, que funciona como um utensílio de categoria II. Quando conjura esta versão do ritual, você perde 1 PE permanentemente.",Energia,3,6/10/15,Padrão,Ilimitado,,"1 objeto de até 2 espaços/1 objeto de até 10 espaços/1 recipiente Médio (como uma mala ou caixote)  com itens que
somem até 10 espaços",Instantânea//Permanente,,Vontade anula,,TRUE,TRUE,,,
23,Convocar o Algoz,"Usando os medos subconscientes do alvo, você manipula a espiral da Morte para criar uma imagem daquilo que ele mais teme. Apenas a própria vítima vê o algoz com nitidez; outros seres presentes (incluindo você) enxergam apenas um vulto sombrio. O algoz surge adjacente a você. No fim de cada turno seu, ele flutua 12m em direção à vítima. Se o algoz terminar o turno em alcance curto da vítima, ela deve fazer um teste de Vontade; se falhar, ficará abalada. Se o algoz terminar o turno adjacente à vítima, ela deve fazer um teste de Fortitude. Se falhar, sofre um colapso e fica com 0 PV. Se passar, sofre 6d6 pontos de dano de Morte (este dano não pode reduzir o alvo a menos de 1 PV). O algoz persegue o alvo implacavelmente, mesmo além do alcance do ritual. Ele é incorpóreo e imune a dano e só desaparece se deixar o alvo morrendo ou se for dissipado.",Morte,4,10,Padrão,"1,5m",,1 pessoa,Sustentada,,"Vontade parcial, Fortitude parcial",,FALSE,FALSE,,,
24,Corpo Adaptado,"Este ritual modifica a biologia do alvo para permitir a sobrevivência em ambientes hostis. O alvo fica imune a calor e frio extremos, pode respirar na água se respirar ar (ou vice-versa) e não sufoca em fumaça densa.
*Discente (+2 PE):* muda a duração para 1 dia.
*Verdadeiro (+5 PE):* muda o alcance para ""curto"" e o alvo para ""pessoas ou animais escolhidos"".",Sangue,1,1/3/6,Padrão,Toque//Curto,,1 pessoa ou animal//Pessoas ou animais escolhidos,Cena/1 dia/1 dia,,,,TRUE,TRUE,,2º círculo,3º círculo
25,Decadência,"Espirais de trevas envolvem sua mão e definham o alvo, que sofre 2d8+2 pontos de dano de Morte.
*Discente (+2 PE):* muda a resistência para ""nenhuma"" e o dano para 3d8+3. Como parte da execução do ritual, você transfere as espirais para uma arma e faz um ataque corpo a corpo contra o alvo com esta arma. Se acertar, causa o dano da arma e do ritual, somados.
*Verdadeiro (+5 PE):* muda o alcance para ""pessoal"" o alvo para ""área: explosão com 6m de raio"" e o dano para 8d8+8. As espirais afetam todos os seres na área. Requer 3º círculo.",Morte,1,1/3/6,Padrão,Toque//Pessoal,,1 ser//Área: explosão com 6m de raio,Instantânea,,Fortitude reduz à metade/Nenhuma/Fortitude reduz à metade,2d8+2/3d8+3/8d8+8,TRUE,TRUE,,2º círculo,3º círculo
26,Definhar,"Você dispara uma lufada de cinzas que drena as forças do alvo. A alvo fica fatigado. Se passar no teste de resistência, em vez disso fica vulnerável.
*Discente (+2 PE):* em vez do normal, o alvo fica exausto. Se passar na resistência, fica fatigado. Requer 2º círculo.
*Verdadeiro (+5 PE):* como discente, mas muda o alvo para ""até 5 seres"". Requer 3º círculo e afinidade com Morte.",Morte,1,1/3/6,Padrão,Curto,,1 ser//Até 5 seres,Cena,,Fortitude parcial,,TRUE,TRUE,,2º círculo,"3º círculo, Afinidade"
27,Deflagração de Energia,"Você acumula uma quantidade imensa de Energia, então a libera em uma explosão intensa, como uma estrela em plena terra. Todos na área sofrem 3d10 x 10 pontos de dano de Energia e todos os itens tecnológicos (armas de fogo, acessórios e utensílios) param de funcionar (em termos de regras, estão quebrados). Você não é afetado pela explosão. Alvos que passem no teste de Fortitude sofrem metade do dano e seus itens voltam a funcionar após 1d4 rodadas.
*Verdadeiro (+5 PE):* afeta apenas alvos a sua escolha.",Energia,4,10/15,Completa,Pessoal,explosão de 15m de raio,,,,Fortitude parcial,3d10 x 10,FALSE,TRUE,,,4º círculo
28,Desacelerar Impacto,"O alvo cai lentamente. A velocidade da queda é reduzida para 18m por rodada — o suficiente para não causar dano. Como conjurar este ritual é uma reação, você pode conjurá-lo rápido o bastante para salvar a si ou um aliado de quedas inesperadas. Se o alvo for um projétil — como um disparo de arma ou um objeto largado do alto de um prédio —, o ritual faz com que ele cause metade do dano normal, devido à lentidão. Este ritual só funciona em alvos em queda livre ou similar; não pode frear um golpe de faca ou o mergulho rasante de um atacante voador.
*Discente (+3 PE):* aumenta o total de alvos para seres ou objetos somando até 100 espaços.",Morte,2,3/6,Reação,Curto,,1 ser ou objetos somando até 10 espaços/Seres ou objetos somando até 100 espaços,"até chegar ao solo ou cena, o que vier primeiro",,,,TRUE,FALSE,,2º círculo,
29,Descarnar,"Este ritual cruel faz com que lacerações se manifestem na pele e órgãos do alvo, que sofre 6d8 pontos de dano (metade corte, metade Sangue) e fica com uma hemorragia severa. No início de cada turno dele, o alvo deve fazer um teste de Fortitude. Se falhar, sofre 2d8 pontos de dano de Sangue. Se passar nesse teste dois turnos seguidos, a hemorragia é estancada. Alvos que passem no teste de resistência inicial sofrem metade do dano e não ficam com hemorragia.
*Discente (+3 PE):* muda o dano direto para 10d8 e o dano da hemorragia para 4d8. Requer 3º círculo.
*Verdadeiro (+7 PE):* muda o alvo para você e a duração para sustentada. Enquanto o ritual durar, seus ataques corpo a corpo causam 4d8 pontos de dano de Sangue adicional e deixam o alvo com hemorragia automaticamente (como no efeito básico do ritual). O alvo ainda tem direito a um teste de Fortitude no início de seus turnos. Requer 3º círculo e afinidade.",Sangue,2,3/6/10,Padrão,Toque,,1 ser//você,Instantânea//Sustentada,,Fortitude parcial,6d8/10d8/4d8,TRUE,TRUE,,3º círculo,"3º círculo, afinidade"
30,Detecção de Ameaças,"Você recebe uma percepção aguçada sobre perigos à sua volta. Quando um ser hostil ou armadilha entra na área do efeito, você tem uma sensação de perigo e pode gastar uma ação de movimento para fazer um teste de Percepção (DT 20). Se passar, sabe a direção e distância do perigo.
*Discente (+3 PE):* além do normal, você não fica desprevenido contra perigos detectados e recebe +5 em testes de resistência contra armadilhas. Requer 3º círculo.
*Verdadeiro (+5 PE):* muda a duração para ""1 dia"" e concede os mesmos benefícios de discente. Requer 4º círculo.",Conhecimento,2,3/6/8,Padrão,Pessoal,esfera de 18m de raio,,,Cena//1 dia,,,TRUE,TRUE,,3º círculo,4º círculo
