Codigo_Item,Grupo_Item,Nome_Item,Desc_Item,Categoria_Item,Espacos_Itens,Dt_Item,Fonte_Item
24,Explosivos,Granada de Tinta,"Uma granada caseira que espalha tintas coloridas e fosforescentes pelo ambiente, marcando os alvos e os tornando mais visíveis. Seres em um raio de 6m a partir do ponto de impacto ficam vulneráveis e sofrem –2d20 em Furtividade até o fim da cena (Reflexos DT Agi evita condição).",0,1,"Reflexos, AGI",AS
25,Itens Operacionais,Algemas,"Um par de algemas de aço. Para prender uma pessoa que não esteja indefesa você precisa empunhar a algema, agarrar a pessoa (veja “Manobras de Combate”, OPRPG, Capítulo 4) e então vencer um novo teste de agarrar contra ela. Você pode prender os dois pulsos da pessoa (-5 em testes que exijam o uso das mãos, impede conjuração) ou um dos pulsos dela em um objeto imóvel adjacente, caso haja, para impedir que ela se mova. Escapar das algemas exige um teste de Acrobacia contra DT 30 (ou ter as chaves...).",0,1,"Acrobacia, 30",OPRPG
26,Itens Operacionais,Arpéu,"Um gancho de aço amarrado na ponta de uma corda para se fixar em muros, janelas, parapeitos de prédios... Prender um arpéu exige um teste de Pontaria (DT 15). Subir um muro com a ajuda de uma corda fornece +5 no teste de Atletismo.",0,1,"Pontaria, 15",OPRPG
27,Itens Operacionais,Bandoleira,"Um cinto com bolsos e alças. Uma vez por rodada, você pode sacar ou guardar um item em seu inventário como uma ação livre. ",I,1,,OPRPG
28,Itens Operacionais,Binóculos,Estes binóculos militares fornecem +5 em testes de Percepção para observar coisas distantes.,0,1,,OPRPG
29,Itens Operacionais,Bloqueador de Sinal,"Este dispositivo compacto emite ondas que “poluem” a frequência de rádio usada por celulares, impedindo que qualquer aparelho desse tipo em alcance médio se conecte.",I,1,,OPRPG
30,Medicamento,Cicatrizante,Um spray contendo um remédio com potente efeito cicatrizante. Você pode gastar uma ação padrão e este item para curar 2d8+2 PV em você ou em um ser adjacente.,I,1,,OPRPG
31,Itens Operacionais,Corda,"Um rolo com 10 metros de corda resistente. Possui diversas utilidades: pode ajudar a descer um buraco ou prédio (+5 em testes de Atletismo nessas situações), amarrar pessoas inconscientes etc.",0,1,,OPRPG
32,Itens Operacionais,Equipamento de Sobrevivência,"Uma mochila com saco de dormir, panelas, GPS e outros itens úteis para sobreviver no mato. Fornece +5 em testes de Sobrevivência para acampar e orientar-se e permite que você faça esses testes sem treinamento.",0,2,,OPRPG
33,Itens Operacionais,Lanterna Tática,"Ilumina lugares escuros. Além disso, você pode gastar uma ação de movimento para mirar a luz nos olhos de um ser em alcance curto. Ele fica ofuscado por 1 rodada, mas imune à lanterna pelo resto da cena.",I,1,,OPRPG
34,Itens Operacionais,Máscara de gás,Uma máscara com filtro que cobre o rosto inteiro. Fornece +10 em testes de Fortitude contra efeitos que dependam de respiração.,0,1,,OPRPG
35,Itens Operacionais,Mochila Militar,Uma mochila leve e de alta qualidade. Ela não usa nenhum espaço e aumenta sua capacidade de carga em 2 espaços.,I,-2,,OPRPG
36,Itens Operacionais,Óculos de Visão Térmica,Estes óculos eliminam a penalidade em testes por camuflagem,I,1,,OPRPG
37,Itens Operacionais,Pé de cabra,Esta barra de ferro fornece +5 em testes de Força para arrombar portas. Pode ser usada em combate como um bastão.,0,1,,OPRPG
38,Itens Operacionais,Pistola de Dardos,"Esta arma dispara dardos com um poderoso sonífero. Para disparar em um ser, faça um ataque à distância contra ele. Se acertá-lo, ele fica inconsciente até o fim da cena (Fortitude DT Agi reduz para desprevenida e lenta por uma rodada). A pistola vem com 2 dardos. Uma caixa adicional com 2 dardos é um item de categoria 0 que ocupa 1 espaço.",I,1,"Fortitude, AGI",OPRPG
39,Itens Operacionais,Pistola Sinalizadora,"Esta pistola dispara um sinalizador luminoso, útil para chamar outras pessoas para sua localização. Pode ser usada como uma arma de disparo leve com alcance curto que causa 2d6 pontos de dano de fogo. A pistola vem com 2 cargas. Uma caixa adicional com 2 cargas é um item de categoria 0 que ocupa 1 espaço.",0,1,,OPRPG
40,Itens Operacionais,Soqueira,Esta peça de metal e usada entre os dedos e permite socos mais perigosos — fornece +1 em rolagens de dano desarmado. Uma soqueira pode receber modificações e maldições de armas corpo a corpo e aplica os efeitos delas em seus ataques desarmados.,0,1,,OPRPG
41,Itens Operacionais,Spray de Pimenta,Este spray dispara um composto químico que causa dor e lacrimejo. Você pode gastar uma ação padrão para atingir um ser adjacente. O ser fica cego por 1d4 rodadas (Fortitude DT Agi evita). A carga do spray dura dois usos.,I,1,"Fortitude, AGI",OPRPG
42,Itens Operacionais,Taser,Um dispositivo de eletrochoque capaz de atordoar ou até incapacitar um alvo. Você pode gastar uma ação padrão para atingir um ser adjacente. O alvo sofre 1d6 pontos de dano de eletricidade e fica atordoado por uma rodada (Fortitude DT Agi evita). A bateria do taser dura dois usos.,I,1,"Fortitude, AGI",OPRPG
43,Itens Operacionais,Traje Hazmat,"Uma roupa impermeável e que cobre o corpo inteiro, usada para impedir o contato do usuário com materiais tóxicos. Fornece +5 em testes de resistência contra efeitos ambientais e resistência a químico 10.",I,2,,OPRPG
44,Itens Operacionais,Alarme de Movimento,"Este pequeno objeto de fácil aquisição pode ser controlado por um dispositivo móvel específico ou um aplicativo de celular. Você pode gastar uma ação completa para posicionar e ativar o alarme; após isso, sempre que houver movimento significativo em um cone de 30m para onde ele foi apontado, ele irá sinalizar o dispositivo de controle. Ao acionar o alarme você pode regular sua sensibilidade ao movimento (como padrão, ele é acionado sempre que um ser Pequeno ou maior se move na área). A sinalização pode ser discreta, apenas no dispositivo, ou barulhenta, acionando um alarme sonoro alto e agudo.",0,1,,SaH
45,Itens Operacionais,Alimento Energético,Existem diversos alimentos e suplementos de alta tecnologia capazes de recuperar as energias mentais de um agente. Você pode gastar uma ação padrão para consumir este item e recuperar 1d4 PE.,II,1,,SaH
46,Itens Operacionais,Aplicador de Medicamentos,"Essa adaptação portátil de bombas injetoras hospitalares pode ser presa ao redor do braço ou perna para aplicar uma substância, como um cicatrizante ou medicamento, com uma ação de movimento. O aplicador tem espaço para três doses de substâncias (já contabilizadas no espaço do item). Carregar uma dose de uma substância no aplicador é uma ação padrão.",I,1,,SaH
47,Itens Operacionais,Braçadeira Reforçada,"Semelhante às proteções usadas em artes marciais e outros esportes de contato, estas braçadeiras ajudam a absorver o impacto ao bloquear golpes com o braço. Elas aumentam em +2 a RD que você recebe por usar um bloqueio.",I,1,,SaH
48,Itens Operacionais,Coldre Saque Rápido,"Este coldre é projetado para que a arma possa ser sacada ou armazenada com um movimento mínimo. Uma vez por rodada, você pode sacar ou guardar uma arma de fogo leve como uma ação livre.",I,1,,SaH
49,Itens Operacionais,Equipamento de Escuta,"Este conjunto contém um receptor, com alcance de 90m, e três minúsculos transmissores capazes de captar conversas e outros sons em um raio de 9m. Instalar um transmissor demora alguns minutos e exige um teste de Crime contra DT 20 (uma falha indica que a escuta não irá transmitir). O resultado desse teste é também a DT para outras pessoas encontrarem o transmissor. É possível instalar um transmissor discretamente com outras pessoas presentes; fazer isso é uma ação completa, requer um teste de Furtividade oposto à Percepção dos presentes e aumenta a DT do teste de Crime em +5.",I,1,"Crime, 20",SaH
50,Itens Operacionais,Estrepes,"Uma ferramenta medieval cuja utilidade a manteve ativa até os dias de hoje, um estrepe é uma peça de metal com quatro pontas afiadas, construída de modo que uma ponta sempre fique voltada para cima. Usar um saco de estrepes em combate exige uma ação padrão para cobrir um quadrado de 1,5m de lado. Um ser que pise numa área coberta de estrepes sofre 1d4 pontos de dano de perfuração e fica lento por um dia. Em uma cena de perseguição, você pode aplicar os estrepes como parte de sua ação, mas sofre -1d20 em seu teste nessa rodada. Um perseguidor que pise nos estrepes sofre -1d20 em testes de perseguição até o fim da cena. Tanto em combate quanto em perseguição, passar em um teste de Reflexos (DT Agi) evita os estrepes. Os estrepes não afetam seres capazes de resistir a todo o seu dano.",0,1,"Reflexos, AGI",SaH
51,Itens Operacionais,Faixa de Pregos,"Este aparato compacto é uma trilha de hastes metálicas sanfonadas com pregos em toda sua extensão. Utilizado primariamente para parar veículos, pode ser empregado contra outros oponentes. Uma faixa de pregos funciona como estrepes, exceto que ocupa uma linha de 9m. Além disso, veículos com pneus de borracha que passem pela faixa têm seus pneus automaticamente perfurados, o que reduz seu deslocamento pela metade. ",I,2,,SaH
52,Itens Operacionais,Isqueiro,"Existem isqueiros de vários tipos, desde os sofisticados de metal até os descartáveis de plástico. Todos seguem o mesmo princípio; você pode gastar uma ação de movimento para produzir uma pequena chama. Além de incendiar objetos inflamáveis, emite luz em um raio de 3m.",0,"0,5",,SaH
53,Itens Operacionais,Óculos Escuros,Um personagem vestindo óculos escuros não pode ser ofuscado.,0,1,,SaH
54,Itens Operacionais,Óculos de Visão Noturna,"Alimentados por uma bateria, estes óculos permitem enxergar no escuro, como se o personagem tivesse visão no escuro. Entretanto, o usuário recebe -1d20 em testes de resistência contra a condição ofuscado e efeitos baseados em luz
(como uma granada de atordoamento).",I,1,,SaH
55,Itens Operacionais,Pá,Esta pesada ferramenta fornece +5 em testes de Força para cavar buracos e mover detritos. Pode ser usada em combate como um bastão.,0,2,,SaH
56,Itens Operacionais,Paraquedas,"Anula o dano de queda. Personagens com grau de treinamento veterano em Acrobacia, Pilotagem, Reflexos, Tática ou uma Profissão específica sabem usar paraquedas. Caso contrário, ou em quedas muito curtas, usar o paraquedas requer um teste de Reflexos (DT 20). Se falhar, o paraquedas não funciona adequadamente, reduzindo o dano de queda apenas à metade.",I,2,"Reflexos, 20",SaH
57,Itens Operacionais,Traje de Mergulho,"Uma roupa impermeável e que cobre quase o corpo inteiro, usada para garantir a segurança do mergulhador debaixo d’água. Vem acompanhado de tanque e máscara que garantem 1 hora de oxigênio. Fornece +5 em testes de resistência contra efeitos ambientais e resistência a dano químico 5. Ocupa o espaço de uma vestimenta e vesti-lo ou despi-lo é uma ação completa.",I,2,,SaH
58,Itens Operacionais,Traje Espacial,"Uma roupa impermeável e que cobre o corpo inteiro, usada para garantir a segurança do astronauta no vácuo do espaço. Possui um suprimento de água e oxigênio de oito horas, e protege contra os raios cósmicos e de minúsculas rochas errantes no espaço. Fornece +10 em testes de resistência contra efeitos ambientais e resistência a dano químico 20. Ocupa o espaço de uma vestimenta e vesti-lo, ou despi-lo, demora duas rodadas.",II,5,,SaH
59,Itens Operacionais,Bloody Mary Batizada,"Uma versão especial da bebida Bloody Mary, preparada com “carinho” para expurgar todas as mazelas de um corpo. Se beber, você se livra de uma condição mental e/ou de medo que o esteja afetando. Porém, sofre 2d4 pontos de dano mental.",II,1,,SaH
60,Itens Operacionais,Paçoca,"Uma iguaria típica brasileira, muito popular nas festas juninas. Este delicioso doce é feito à base de amendoim torrado e moído, açúcar e farinha de mandioca. Dizem que é impossível comer uma só. A paçoca conta como um prato rápido (OPRPG, p. 93), mas em ocasiões especiais, à critério do mestre, a paçoca pode surpreender: uma vez por dia, ao comer ela, o personagem recupera 1d8+1 PV, PE e SAN.",0,"0,5",,SaH
61,Medicamento,Aplicador de Adrenalina,"Uma caneta aplicadora pronta para injetar uma alta carga de epinefrina. Você pode gastar uma ação padrão e este item para injetar a epinefrina em você ou em um ser adjacente. O item fornece 2d8+2 PV temporários, +3m de deslocamento e +2 em testes baseados em Força, Agilidade e Vigor até o fim da cena. Quando o efeito acaba, o ser sofre um rebote (fica fatigado por uma cena). Este item conta como um medicamento (SaH, p. 43).",I,1,,AS
62,Medicamento,Antibiótico,"Além de cicatrizantes, existem outros medicamentos que podem ajudar os agentes. Você pode gastar uma ação padrão e o medicamento para aplicar seus efeitos em você ou em um ser adjacente.

Fortalece a imunidade contra vírus e bactérias. Fornece +5 no próximo teste de Fortitude contra efeitos de uma doença feito até o fim do dia.",I,"0,5",,SaH
63,Medicamento,Antídoto,"Além de cicatrizantes, existem outros medicamentos que podem ajudar os agentes. Você pode gastar uma ação padrão e o medicamento para aplicar seus efeitos em você ou em um ser adjacente.

Ajuda o corpo a lidar com venenos. Fornece +5 no próximo teste de Fortitude contra efeitos de um veneno até o fim do dia. Um antídoto feito para um veneno específico, em vez disso, remove completamente o veneno.",I,"0,5",,SaH
64,Medicamento,Antiemético,"Além de cicatrizantes, existem outros medicamentos que podem ajudar os agentes. Você pode gastar uma ação padrão e o medicamento para aplicar seus efeitos em você ou em um ser adjacente.

Remove a condição enjoado e fornece +5 em testes para evitar essa condição até o fim da cena. A critério do mestre, pode funcionar contra outras condições causadas por náuseas e vômitos.",I,"0,5",,SaH
65,Medicamento,Antihistamínico,"Além de cicatrizantes, existem outros medicamentos que podem ajudar os agentes. Você pode gastar uma ação padrão e o medicamento para aplicar seus efeitos em você ou em um ser adjacente.

Reduz reações alérgicas perigosas. Fornece +5 no próximo teste contra efeitos de uma alergia feito até o fim do dia.",I,"0,5",,SaH
66,Medicamento,Anti-inflamatório,"Reduz reações inflamatórias, diminuindo dor e inchaço. Fornece 1d8+2 PV temporários.",I,"0,5",,SaH
67,Medicamento,Antitérmico,"Reduz reações febris perigosas e alivia dores de cabeça, permitindo um novo teste contra uma condição mental que o usuário esteja sofrendo. Só funciona uma vez por cena.",I,"0,5",,SaH
68,Medicamento,Broncodilatador,Auxilia na respiração. Fornece +5 em testes para evitar as condições asfixiado ou fatigado feitos até o fim do dia.,I,"0,5",,SaH
69,Medicamento,Coagulante,"Aumenta a capacidade de coagulação, fornecendo +5 em testes para se estabilizar da condição sangrando feitos até o fim do dia. Se usado em conjunto com um teste de Medicina para remover a condição morrendo, também fornece +5 nesse teste.",I,"0,5",,SaH
70,Itens Paranormais,Amarras de (Elemento),"Cordas ou correntes feitas de um elemento paranormal específico. As amarras são preparadas para imobilizar criaturas do Outro Lado que sejam vulneráveis ao elemento que as compõem e podem ser usadas de duas formas.
*Armadilha.* Você gasta as amarras, uma ação completa e 2 PE e prepara uma armadilha de 3x3m. Uma criatura que atravesse o espaço pela primeira vez em seu turno precisa fazer um teste de de Reflexos (DT Int); se falhar, fica imóvel até o final da cena. Mesmo se passar, considera o espaço ocupado pela armadilha como terreno difícil.
*Laçar.* Você gasta uma ação padrão e 1 PE e escolhe uma criatura em alcance curto. Se falhar num teste de Vontade (DT Agi), a criatura fica paralisada até o início de seu próximo turno, quando pode repetir o teste. Manter a criatura enlaçada requer o gasto de 1 PE por rodada.",II,1,"Reflexos, INT/ Vontade, AGI",OPRPG
71,Itens Paranormais,Câmera de Aura Paranormal,Esta câmera amaldiçoada com Energia possui sigilos de Conhecimento para capturar auras paranormais. Tirar uma foto gasta uma ação padrão e 1 PE. As fotos são instantâneas e revelam a presença de auras paranormais em pessoas e objetos. As auras são da cor associada ao elemento.,II,1,,OPRPG
72,Itens Paranormais,Componentes Ritualísticos de (Elemento),"Um conjunto de objetos utilizados em rituais de um elemento entre Sangue, Morte, Conhecimento ou Energia (não existem componentes ritualísticos de Medo). Componentes ritualísticos são necessários para a conjuração de rituais do elemento em questão.

*Energia:* eletricidade, dispositivos tecnológicos (celulares, computadores etc.), circuitos eletrônicos, fontes de calor e luz, pilhas, baterias, cabos de cobre e prata, pólvora, moedas, dados, ímãs...
*Sangue:* órgãos, carne, sangue, animais vivos (para
sacrifício), navalhas, agulhas, arame farpado, correntes, metal enferrujado, fluídos corporais...
*Morte:* ossos, dentes, cinzas, fios de cabelo, cristais pretos, relógios, galhos secos, folhas secas,
plantas mortas, raízes, areia, poeira, Lodo...
*Conhecimento:* escrituras, papéis, livros, pergaminhos, pedras preciosas, ouro, cordas, tecido,
cristais brancos, vidro, máscaras, instumentos de escrita (lápis, caneta, tinta, giz etc.)...",0,1,,OPRPG
73,Itens Paranormais,Emissor de Pulsos Paranormais,"Esta pequena caixa coberta de sigilos foi desenvolvida para servir como uma “isca” de criaturas paranormais. Ativar a caixa gasta uma ação completa e 1 PE. A caixa emite um pulso de um elemento definido pelo ativador, que atrai criaturas do mesmo elemento e afasta criaturas do elemento oposto. As criaturas afetadas têm direito a um teste de Vontade (DT Pre) para evitar o efeito.",II,1,"Vontade, PRE",OPRPG
74,Itens Paranormais,Escuta de Ruídos Paranormais,"Este microfone funciona como um aparato espião, com a diferença que consegue captar ruídos paranormais. Ativar a escuta gasta uma ação completa e 2 PE e faz com que ela grave ruídos por até 24 horas. Ouvir a escuta fornece +5 em testes de Ocultismo para identificar criatura.",II,1,,OPRPG
75,Itens Paranormais,Medidor de Estabilidade da Membrana,"Um dispositivo complexo, composto por diversos medidores — de temperatura, campo magnético, dilatação temporal... Um agente treinado em Ocultismo pode usar o medidor para avaliar o estado da Membrana em uma área (veja OPRPG, página 97), o que indica a chance de uma entidade se manifestar nela. Um ambiente com valores racionais e constantes ao longo de algumas horas dificilmente originará uma criatura ou manifestação perigosa. Porém, se as leituras apresentarem dados inexplicáveis ou com grandes variações, o lugar poderá conter uma entidade. Apesar de ser um bom indicativo, o medidor não fornece respostas definitivas, já que um ambiente com a Membrana danificada ainda pode não ter sido afetado por manifestações, assim como um lugar com a Membrana protegida por conter uma criatura poderosa vinda de outro lugar.",II,1,,OPRPG
76,Itens Paranormais,Scanner de Manifestação Paranormal de (Elemento),"Este item é composto por um dispositivo conectado a pequenos objetos amaldiçoados de uma entidade específica e adornado com uma série de sigilos. Ativar o scanner é uma ação padrão. Quando ativado, o scanner consome 1 PE por rodada do usuário, que sempre sabe a direção de todas as manifestações paranormais ativas (rituais, criaturas, itens amaldiçoados etc.) do elemento escolhido em alcance longo. Se o elemento principal de uma criatura for outro, mas ela tiver como complemento o elemento escolhido do scanner, também será detectada.",II,1,,OPRPG
77,Itens Paranormais,Catalisador Ritualístico Ampliador,"Componentes ritualísticos que já foram alterados através de exposição paranormal e por isso são mais eficientes. Ao contrário de componentes comuns, um catalisador é consumido ao ser usado. Existem diversos tipos de catalisadores, uma para cada elemento. Você precisa estar empunhando um catalisador para usá-lo e só pode usar um catalisador por ritual. Por sua natureza, catalisadores não podem ser improvisados, como pela habilidade Improvisar Componentes, mas ainda podem ser fabricados em campo (veja p. 94).

*Ampliador:* Aumenta o alcance do ritual em um passo (apenas de curto para médio, de médio para longo ou de longo para extremo) ou dobra a área de efeito. Por exemplo, uma Dissonância Acústica ampliada tem seu alcance aumentado para longo ou sua área aumentada para 12m de raio.",I,"0,5",,SaH
